image,boat_count,detected_image,boat_coordinates,
AXISQ6074EPTZACCC8EACA584_20230913T115001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230906T115501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230925T122501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230923T120001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230922T063501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230916T051001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230913T054501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231019T084001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230911T125001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231022T052501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231011T132001.000Z.jpg,3,View Image,"(982.0, 49.0); (942.0, 50.0); (1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230907T080501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230907T064501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230912T084501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230921T124501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230923T033501.000Z.jpg,2,View Image,"(1123.0, 46.0); (992.0, 49.0)",
AXISQ6074EPTZACCC8EACA584_20231017T044001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231022T133001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230907T043001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231020T081501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230920T082001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231019T082501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231011T114001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230922T044001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231013T110001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231022T043501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230926T042501.000Z.jpg,1,View Image,"(1181.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230904T073501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230917T100001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231012T031001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231006T091001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230926T041501.000Z.jpg,1,View Image,"(1057.0, 47.0)",
AXISQ6074EPTZACCC8EACA584_20230917T071001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230921T102501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231006T064001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230913T053501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230912T080501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231009T062501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230912T105001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231007T122501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231006T114001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231023T031501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230925T051001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230908T073001.000Z.jpg,2,View Image,"(1053.0, 49.0); (777.0, 54.0)",
AXISQ6074EPTZACCC8EACA584_20231014T065501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231019T022501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230914T122501.000Z.jpg,1,View Image,"(1072.0, 46.0)",
AXISQ6074EPTZACCC8EACA584_20231009T052501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230911T071001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231019T131501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230927T082001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231008T042501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231021T075001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230920T035501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230910T095001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230908T095001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230922T094501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230926T130501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230911T075001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230923T034501.000Z.jpg,2,View Image,"(144.0, 72.0); (1096.0, 47.0)",
AXISQ6074EPTZACCC8EACA584_20230913T044501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231009T063001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230926T042001.000Z.jpg,1,View Image,"(1245.0, 43.0)",
AXISQ6074EPTZACCC8EACA584_20231014T025001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231008T063501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230917T120501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231008T101501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231007T095501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230921T062001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230925T065501.000Z.jpg,1,View Image,"(1072.0, 46.0)",
AXISQ6074EPTZACCC8EACA584_20230910T110501.000Z.jpg,1,View Image,"(1255.0, 43.0)",
AXISQ6074EPTZACCC8EACA584_20230918T082001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231018T125501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230923T115501.000Z.jpg,1,View Image,"(1176.0, 47.0)",
AXISQ6074EPTZACCC8EACA584_20230917T123501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231014T085001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231009T060501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230925T085501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231020T052001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230922T041001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231005T072502.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230909T082501.000Z.jpg,1,View Image,"(1070.0, 48.0)",
AXISQ6074EPTZACCC8EACA584_20230922T103501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230907T081501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231004T055501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231010T101501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230925T072501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230910T073501.000Z.jpg,4,View Image,"(1120.0, 42.0); (1072.0, 45.0); (1120.0, 109.0); (1133.0, 53.0)",
AXISQ6074EPTZACCC8EACA584_20230921T072001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231020T122001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231004T052002.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230921T082501.000Z.jpg,1,View Image,"(827.0, 56.0)",
AXISQ6074EPTZACCC8EACA584_20231016T114501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231010T063002.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231014T063001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230916T072501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230925T052501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231023T072001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230923T131001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231020T082001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231019T042001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230925T040001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231021T124501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231012T070501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231021T120501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231010T090001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231008T044001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230922T035501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230916T042001.000Z.jpg,3,View Image,"(1012.0, 51.0); (1072.0, 45.0); (1217.0, 58.0)",
AXISQ6074EPTZACCC8EACA584_20231017T073501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231016T075001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230912T065001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230908T104001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230913T104001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230917T052501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230917T101501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231011T133001.000Z.jpg,2,View Image,"(1138.0, 46.0); (1093.0, 47.0)",
AXISQ6074EPTZACCC8EACA584_20230910T054501.000Z.jpg,6,View Image,"(982.0, 49.0); (1072.0, 45.0); (1255.0, 43.0); (674.0, 39.0); (677.0, 110.0); (678.0, 77.0)",
AXISQ6074EPTZACCC8EACA584_20231009T094502.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231009T073501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231014T125001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231018T093001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230924T062501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231020T025001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230905T071501.000Z.jpg,9,View Image,"(1032.0, 48.0); (793.0, 56.0); (748.0, 77.0); (947.0, 42.0); (430.0, 78.0); (495.0, 64.0); (1137.0, 47.0); (980.0, 51.0); (1158.0, 47.0)",
AXISQ6074EPTZACCC8EACA584_20230914T051501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231019T025501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230925T064501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231006T090502.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230913T115501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230927T083501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231012T112501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230917T090001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231014T030001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230904T052001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230925T042501.000Z.jpg,1,View Image,"(1073.0, 46.0)",
AXISQ6074EPTZACCC8EACA584_20231016T124001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230919T041501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231017T061501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230913T082501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230927T115501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231022T072501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230920T082501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231022T092501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231008T125501.000Z.jpg,4,View Image,"(1138.0, 47.0); (1137.0, 85.0); (1136.0, 93.0); (1138.0, 66.0)",
AXISQ6074EPTZACCC8EACA584_20230917T112001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231019T043501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231018T102001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230903T045001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231005T072001.000Z.jpg,1,View Image,"(1072.0, 46.0)",
AXISQ6074EPTZACCC8EACA584_20231016T043002.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230906T081001.000Z.jpg,1,View Image,"(1073.0, 46.0)",
AXISQ6074EPTZACCC8EACA584_20230913T121001.000Z.jpg,1,View Image,"(1135.0, 48.0)",
AXISQ6074EPTZACCC8EACA584_20231008T052001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231002T045501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230923T081501.000Z.jpg,1,View Image,"(1073.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230909T095001.000Z.jpg,1,View Image,"(1100.0, 49.0)",
AXISQ6074EPTZACCC8EACA584_20230923T091501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231020T122501.000Z.jpg,0,View Image,,
